PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821047,KIMIA,63554,1497,61959,67536
INSTITUT PERTANIAN BOGOR,3411474,BISNIS,63697,1556,61926,69106
UNIVERSITAS GADJAH MADA,3611317,MIKROBIOLOGI PERTANIAN,63233,11,61926,65798
UNIVERSITAS BRAWIJAYA,3721417,BIOTEKNOLOGI,64197,1718,61887,68793
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821152,TEKNIK GEOMATIKA,63272,1633,6186,71642
UNIVERSITAS ANDALAS,1411184,FARMASI,63965,1584,61853,68702
UNIVERSITAS NEGERI YOGYAKARTA,3621447,TEKNOLOGI INFORMASI,6386,1773,61851,6777
UNIVERSITAS UDAYANA,6111181,FARMASI,63336,1415,6183,66908
UNIVERSITAS DIPONEGORO,3551221,PERENCANAAN WILAYAH DAN KOTA,63673,1622,61825,70493
UNIVERSITAS PENDIDIKAN INDONESIA,3341093,KIMIA,62997,1191,61822,66627
UNIVERSITAS DIPONEGORO,3551194,TEKNIK MESIN,64171,1668,61821,68854
UNIVERSITAS BRAWIJAYA,3721441,TEKNIK LINGKUNGAN,6337,1307,61802,6678
UNIVERSITAS SEBELAS MARET,3531166,PERENCANAAN WILAYAH DAN KOTA (PWK),63335,1414,618,6667
UNIVERSITAS BRAWIJAYA,3721046,TEKNIK MESIN,63188,1274,6177,68242
UNIVERSITAS NEGERI YOGYAKARTA,3621103,MATEMATIKA,63906,154,61763,66865
UNIVERSITAS BRAWIJAYA,3721232,GIZI KESEHATAN / ILMU GIZI,64162,2022,61763,7248
UNIVERSITAS DIPONEGORO,3551074,KIMIA,63388,15,61762,69485
UNIVERSITAS BRAWIJAYA,3721127,KIMIA,62973,1258,61748,69426
UNIVERSITAS BRAWIJAYA,3721135,MATEMATIKA,63624,1987,61714,69665
UNIVERSITAS DIPONEGORO,3551012,KESEHATAN MASYARAKAT,63731,1815,61712,74629
UNIVERSITAS SEBELAS MARET,3531104,TEKNIK MESIN,63507,167,61673,69458
INSTITUT TEKNOLOGI BANDUNG,3321162,SEK. ARSITEKTUR. PERENC & PENGEMB KEBIJAKAN (SAPPK) - KAMPUS CIREBON,63996,1872,61656,6859
UNIVERSITAS SEBELAS MARET,3531143,KIMIA,63144,125,61625,66718
UNIVERSITAS NUSA CENDANA,6311233,PENDIDIKAN DOKTER,6402,1896,61612,68626
UNIVERSITAS SEBELAS MARET,3531062,ILMU DAN TEKNOLOGI PANGAN,62875,1246,616,66506
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821055,BIOLOGI,63148,1423,61584,67779
UNIVERSITAS NEGERI YOGYAKARTA,3621126,KIMIA,62856,1128,61575,65562
UNIVERSITAS AIRLANGGA,3811173,ILMU GIZI,6383,1938,61558,70254
"UPN ""VETERAN"" YOGYAKARTA",3631016,TEKNIK GEOLOGI,63287,1699,61541,6965
UNIVERSITAS PENDIDIKAN INDONESIA,3341062,MATEMATIKA,62968,1342,61534,68522
INSTITUT PERTANIAN BOGOR,3411265,TEKNOLOGI INDUSTRI PERTANIAN,63534,1413,61528,67372
UNIVERSITAS NEGERI JAKARTA,3231163,STATISTIKA,62904,1096,61522,65519
UNIVERSITAS DIPONEGORO,3551275,TEKNIK GEODESI,62923,1089,61511,66192
INSTITUT PERTANIAN BOGOR,3411331,EKONOMI PEMBANGUNAN,63629,1459,6151,67288
UNIVERSITAS NEGERI YOGYAKARTA,3621037,PENDIDIKAN KIMIA,62785,1307,61504,66878
UNIVERSITAS PENDIDIKAN INDONESIA,3341216,ARSITEKTUR,62841,127,61499,65618
UNIVERSITAS DIPONEGORO,3551283,TEKNIK KOMPUTER,63131,1491,61489,69625
INSTITUT PERTANIAN BOGOR,3411435,METEOROLOGI TERAPAN,63537,1426,61473,67235
UNIVERSITAS JENDERAL SOEDIRMAN,3511227,ILMU GIZI,63164,162,61444,69094
UNIVERSITAS SUMATERA UTARA,1211077,PENDIDIKAN DOKTER GIGI,63394,1435,61438,67532
UNIVERSITAS SYIAH KUALA,1111181,PENDIDIKAN DOKTER GIGI,62539,955,61436,64104
UNIVERSITAS AIRLANGGA,3811165,STATISTIKA,63303,1809,61411,70344
UNIVERSITAS JENDERAL SOEDIRMAN,3511204,TEKNIK INFORMATIKA,63226,1543,6139,67431
UNIVERSITAS AIRLANGGA,3811053,MATEMATIKA,63498,1999,61385,69207
INSTITUT PERTANIAN BOGOR,3411056,BIOLOGI,62639,1204,61382,6712
UNIVERSITAS PADJADJARAN,3331044,FISIKA,63165,153,61376,69229
"UPN ""VETERAN"" YOGYAKARTA",3631024,TEKNIK PERTAMBANGAN,63641,1942,61345,70622
UNIVERSITAS PADJADJARAN,3331052,BIOLOGI,63257,1576,61331,67499
UNIVERSITAS SEBELAS MARET,3531216,PENDIDIKAN MATEMATIKA,63316,1707,61328,6971
UNIVERSITAS PENDIDIKAN INDONESIA,3341104,ILMU KOMPUTER,62875,1152,61317,65628
UNIVERSITAS DIPONEGORO,3551356,BIOTEKNOLOGI,62985,1311,61292,66807
UNIVERSITAS JENDERAL SOEDIRMAN,3511096,TEKNIK SIPIL,6279,1242,61249,66431
UNIVERSITAS ISLAM NEGERI JAKARTA,3221095,FARMASI,62636,1048,61244,65196
UNIVERSITAS SEBELAS MARET,3531286,TEKNIK ELEKTRO,62795,147,61232,67488
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821322,DESAIN KOMUNIKASI VISUAL,63114,144,61186,66187
UNIVERSITAS GADJAH MADA,3611244,ILMU TANAH,63433,1976,61186,70192
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821233,TEKNIK TRANSPORTASI LAUT,62498,156,61173,6674
"UPN ""VETERAN"" YOGYAKARTA",3631086,TEKNIK INFORMATIKA,62908,1504,6116,70285
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651052,TEKNIK INFORMATIKA,62857,1711,61151,68169
UNIVERSITAS SEBELAS MARET,3531127,MATEMATIKA,63123,2035,61129,70486
UNIVERSITAS PALANGKARAYA,5211224,PENDIDIKAN DOKTER,62313,1186,61127,66056
UNIVERSITAS NEGERI SEMARANG,3561215,TEKNIK INFORMATIKA,6271,1449,61121,66849
UNIVERSITAS BRAWIJAYA,3721197,PERENCANAAN WILAYAH & KOTA,62525,117,61089,67743
UNIVERSITAS JEMBER,3711187,FARMASI,63476,215,61073,74042
UNIVERSITAS ANDALAS,1411153,TEKNIK INDUSTRI,63262,1676,61073,68073
INSTITUT PERTANIAN BOGOR,3411114,KEDOKTERAN HEWAN,63691,2496,61072,75222
UNIVERSITAS AIRLANGGA,3811092,KESEHATAN MASYARAKAT,63077,1563,61067,68057
UNIVERSITAS GADJAH MADA,3611221,AGRONOMI,62665,1685,6106,67666
UNIVERSITAS NEGERI JAKARTA,3231051,MATEMATIKA,62941,2473,61045,71195
